sigla,nombre,escuela,nivel,pre-requisitos
IIC3413,Implementacion de Sistemas de Bases de Datos,ING,MG,"IIC2233,IIC2413"
IIC2714,Fundamentos de Procesamiento de Imagenes,ING,PR,"No tiene"
IIC2222,Teoria de Automatas y Lenguajes Formales,ING,PR,"IIC1253"
IIC3783,Procesamiento Avanzado de Imagenes,ING,MG,"IIC2714"
IIC2283,Diseno y Analisis de Algoritmos,ING,PR,"IIC2133"
IIC3242,Complejidad Computacional,ING,MG,"IIC1253"
IIC3633,Sistemas Recomendadores,ING,MG,"IIC2233,IIC2433"
ICS3153,Optimizacion Avanzada,ING,MG,"IIC1253,IMT2220,IMT2230,IMT2250"
IIC2142,Ingenieria en Sofware,ING,PR,"IIC2233"
IIC3697,Aprendizaje Profundo,ING,DT,"IIC2613"
ICS113H,Optimizacion - Honors,ING,PR,"IMT2220,IMT2230,IIC1103"
IIC2733,Modelos de Procesos,ING,PR,"IIC2413,IMT2240"
IMT2112,Algoritmos Paralelos en Computacion Cientifica,IMC,PR,"IMT2230"
IMT3120,Fundamentos Matematicos de Ciencia de Datos,IMC,MG,"IMT2260"
IMT3410,Metodos para Ecuaciones Diferenciales,IMC,MG,"MAT251I,MAT2605"
IMT2118,Ciencia de Datos Geoespaciales,IMC,PR,"IIC1103"
IMT2115,Control de Sistemas Lineales,IMC,PR,"IMT2220,IMT2230"
IMT2565,Optimizacion Combinatorial,IMC,PR,"IIC1103,IMT2250"
IMT2113,Analisis de Fourier Aplicado,IMC,PR,"IMT2220,IMT2230"
IMT2111,Algebra Lineal Numerica,IMC,PR,"MAT280I"
MAT2320,Introduccion a Metodos Matematicos para Aprendizaje Profundo,MAT,PR,"IMT2210,IMT2220,EYP1025"
EYP2427,Mineria de Datos e Inteligencia de Negocios,MAT,PR,"EYP230I"
EYP3307,Modelos Lineales Generalizados,MAT,PR,"EYP230I"
MAT380I,Teoria de Probabilidades,MAT,PR,"MAT253I,EYP1025"
EYP3437,Analisis Multivariado,MAT,PR,"EYP230I"
MAT2605,Calculo Cientifico I,MAT,PR,"IMT2220,IMT2230"
EYP3907,Series de Tiempo,MAT,PR,"EYP230I"
EYP2417,Muestreo,MAT,PR,"EYP230I"
BIO318E,Principios de Dinamica Poblacional: Teoria y Aplicaciones,BIO,PR,"BIO231C"
BIO295A,Seminario de Investigacion Departamental,BIO,PR,"No tiene"
BIO110C,Biologia de Organismos y Comunidades,BIO,PR,"No tiene"
BIO141C,Biologia de la Celula,BIO,PR,"No tiene"
BIO231C,Ecologia,BIO,PR,"No tiene"
GOB3023,Taller de Analisis Aplicado de Politica Publica,GOB,MG,"No tiene"
GOB3015,Modelos de Decision para Politicas Publicas,GOB,MG,"No tiene"
GEO202,Sistemas de Informacion Geografica,GEO,PR,"No tiene"
GEO309,Percepcion Remota Satelital,GEO,PR,"No tiene"
AST0212,Introduccion al Analisis de Datos,AST,PR,"IIC1103,IMT2220"
